Lunch	
Chicken Wing Bar, Penne Pasta with cannellini Beans and Escarole (V), Grilled Summer Squash (VE), Mixed Vegetables (VE), and Quinoa Pilaf (VE)	7
Crab Cakes with Yogurt and Dill, with Creole Vegetarian Jambalaya (VE), Cajun Corn Macque Choux (VE), Cole Slaw (V), and Vegetarian Baked Beans (VE)	7
Cuban Style Turkey Picadillo Tacos and Lentil Quinoa Tacos (VE) with Cilantro-Lime Roasted Corn (VE), Garlicky Collard Greens (VE) and Red Beans & Rice (VE) with all the Traditional Taco Toppings!	5
Fresh Quesadilla (V) Stuffed with Mango, Black Beans, Caramelized Onion and Jack Cheese with House Made Tomato Salsa and Fresh Fried Tortilla Chips (VE)	7
Fresh Zucchini Noodles with Avocado Cream Sauce (VE)	5
Greek Nachos; Stacked Fresh Pita Chips Layered with House Made Hummus, Roasted Red Peppers, Artichokes, Black Olives and Feta Cheese (V)	6
Grilled Cheese Quesadillas (V) with House Made Salsa and all the Fixings!	7
Grilled Shrimp Roll with Sorrel and Grilled Zucchini Stacks with Mozzarella and Balsamic Drizzle (V)	7
Grilled White Chicken Breast on a Clalfin Roll or Kung Pao Tofu Sliders, Both Served on a Salad of Charred Tomatoes and Fresh Herbs (VE)	5
Hand Carved Niman Ranch Jamaican Pork Loin with Cuban Black Bean Stew (VE), Fried Plantains (VE), Steamed Carrots (VE) and White Rice with Chef's Pasta Bar	6
Hand Carved Turkey Dinner with Cranberry Orange Relish, Butternut Squash and Kale Stuffed Shells (V), Steamed Green Beans (VE), Corn Pudding (VE), and Olive Oil Mashed Potatoes (VE)	5
Hand Carved Turkey Dinner with Cranberry Orange Relish, Butternut Squash and Kale Stuffed Shells (V), Steamed Green Beans (VE), Corn Pudding (VE), and Olive Oil Mashed Potatoes (VE)	6
Hand-breaded Cornmeal Popcorn Chicken with a Sweet Potato and Poblano Salad with Honey and Rosemary and Dipping Sauce Bar	5
Irish Dinner! Guinness Carved Brisket with Braised Cabbage (VE), Vegan Sheppard Pie (VE), Steamed Carrots (VE) and Boiled Red Potatoes with Chef's Pasta Bar	6
Lamb and Niman Ranch Beef Meatloaf with Balsamic Glaze, Asparagus Tomato and Fontina Frittata (V), Braised Green Kale (VE), Orange Glazed Beets (VE), and Baked Potato Bar	7
Lamb and Niman Ranch Beef Meatloaf with Balsamic Glaze, Asparagus Tomato and Fontina Frittata (V), Braised Green Kale (VE), Orange Glazed Beets (VE), and Baked Potato Bar	7
Lemon Pepper Salmon Burger with Sweet Potato Quinoa Patties (VE) and Fresh Rosemary Chips (VE)	5
Lime Marinated Broiled Salmon, Roasted Green Beans (VE), Roasted Leek and Cheddar Strata (V), Mixed Vegetables (VE), and Barley Pilaf (VE) with Chefs Choice Pasta Bar	4
Local Country Baked Haddock with Cornmeal Griddle Cakes (V), Steamed Peas (VE), Braised Kale (VE), and Baked Potato Bar (VE)	6
Maple Roasted White Turkey Breast with a Sweet Potato and Arugula Flatbread (V), Wilted Spinach (VE), Sautéed Summer Squash (VE) and Yukon Gold Mashed Potatoes (V) with Cranberry Sauce (VE), Apple Sauce (VE) and Maple Turkey Gravy (V) Soup- Niman Ranch Steak & Rice or Loaded Baked Potato Soup (V)	7
MYO Omelet Bar, and Spicy Homefries (VE)	7
Niman Ranch Pesto Grilled Pork Chops and Baingan Bharta (Punjabi Eggplant Curry, VE), Rainbow Chard (VE), Steamed Carrots (VE), Kale and Farro Pilaf (VE) and Chef's Pasta Bar Soup- Coconut Swordfish Stew or Vegan Bean Chili with Rice (VE)	6
Niman Ranch Roast Beef au Poivre (Peppercorn Crusted Steak with a Brandy Cream Sauce) with Stuffed Zucchini Boats (VE), Steamed Green Peas and Pearl Onions (VE), Spicy Mustard Greens (VE) and our Signature Baked Potato Bar	6
Niman Ranch Roast Beef with Caramelized Shallot Jus with Spring Onion Cheddar Quiche (V), Steamed Green Beans (VE), Roast Vegetable Medley (VE), and Olive Oil Mashed Potatoes (VE)	7
Our Famous “Fried” Chicken with Vegan Bean Chili (VE), Garlicky Okra & Tomato (VE), Collard Greens (VE) and Buttermilk Mashed Potatoes (V) with Chili and Mashed Potato Bar	6
Our Famous Loaded or Unloaded Mac N Cheese (V) Featuring Macaroni Pasta, House Made Cheese Sauce, Green Peas, Niman Ranch Bacon and Toasted Panko Crumbs	6
Our Famous Make your Own Grilled Cheese (V) with Fresh Kettle Potato Chips (VE)	6
Panzanella Toss with Crispy Croutons, Fresh Mozzarella Cheese, Fresh Basil, Heirloom Tomato and Balsamic Drizzle (V)	6
Pizza Day! House Made Sauce with Shredded Mozzarella Cheese on Fresh Claflin Dough! Today we feature Jerk Chicken Pizza, Eggplant Parmesan Pizza (V) and Three Cheese and Broccoli Pizza (V) with Roasted Cauliflower (VE), Wilted Green Kale (VE) and Chef’s Pasta Bar (V).	7
Pork or Vegetable (VE) Stuffed Potstickers Served on Top a Cucumber & Wakame Salad	8
Pulled Niman Pork with Mango and Chipotle Peppers, Spicy Southwest BBQ Bean Pot (VE), Roasted Corn on the Cob (VE), Steamed Green Chard (VE), and Corn Bread with Cheddar and Jalapeno Peppers (V) with Mac and Cheese Bar (V)	7
Pulled Niman Pork with Mango and Chipotle Peppers, Spicy Southwest BBQ Bean Pot (VE), Roasted Corn on the Cob (VE), Steamed Green Chard (VE), and Corn Bread with Cheddar and Jalapeno Peppers (V) with Mac and Cheese Bar (V)	5
Quinoa & Kraut Raw Wrap (VE)	5
Shrimp Fried Rice and Vegetable Fried Rice (VE)	7
Simple but Delicious Insalata Caprese! Fresh Mozzarella, Sliced Tomato and Fresh Basil with Balsamic Drizzle (V)	7
Spinach and Beef Lasagna with Fresh Mozzarella, Grilled Eggplant Parmesan (V), Citrus Roasted Asparagus (VE), Herb Roasted Zucchini and Carrots (VE) and Steamed Lima Beans (VE)	7
Steak Burgers, Black Bean Burgers (VE), and House Cut Fries (VE)	8
Thai Peanut Chicken Tenderloin Satay or Tofu Satay (VE) with Spicy Peanut Drizzle on Steamed Rice (VE)	5
Tiramisu Crepe (V); Chocolate Crepe Stuffed with Coffee-Cream Cheese and Vanilla Cookies with Fresh Mint, Chocolate Sauce and Powdered Sugar	6
Tiramisu Crepe (V); Chocolate Crepe Stuffed with Coffee-Cream Cheese and Vanilla Cookies with Fresh Mint, Chocolate Sauce and Powdered Sugar	6
Turkey or Veggie (VE) Frankfurter Bar with House Cut French Fries (VE) and all the Fixings!	6
Vegetable Temakizushi Wrap; Sticky Rice with Cucumber, Carrot and Daikon Wrapped in Nori (VE)	5
Wintergreen Salad; a Custom Made Bates Only Salad with Bibb Lettuce, Fresh Mint, Grape Tomato, Goat Cheese and Golden Raisins with Raspberry Vinaigrette (V)	7
